"filename", "language", "JavaScript", "JSON", "Markdown", "Vue", "HTML", "comment", "blank", "total"
"d:\WebTech\teach-server-client\teach-client\.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 18
"d:\WebTech\teach-server-client\teach-client\README.md", "Markdown", 0, 0, 22, 0, 0, 0, 9, 31
"d:\WebTech\teach-server-client\teach-client\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 6
"d:\WebTech\teach-server-client\teach-client\package-lock.json", "JSON", 0, 24510, 0, 0, 0, 0, 1, 24511
"d:\WebTech\teach-server-client\teach-client\package.json", "JSON", 0, 31, 0, 0, 0, 0, 1, 32
"d:\WebTech\teach-server-client\teach-client\public\index.html", "HTML", 0, 0, 0, 0, 16, 1, 1, 18
"d:\WebTech\teach-server-client\teach-client\src\App.vue", "Vue", 0, 0, 0, 27, 0, 0, 5, 32
"d:\WebTech\teach-server-client\teach-client\src\components\Head.vue", "Vue", 0, 0, 0, 54, 0, 0, 2, 56
"d:\WebTech\teach-server-client\teach-client\src\components\Headadmin.vue", "Vue", 0, 0, 0, 54, 0, 0, 2, 56
"d:\WebTech\teach-server-client\teach-client\src\components\Home.vue", "Vue", 0, 0, 0, 24, 0, 0, 2, 26
"d:\WebTech\teach-server-client\teach-client\src\components\Homeadmin.vue", "Vue", 0, 0, 0, 24, 0, 0, 2, 26
"d:\WebTech\teach-server-client\teach-client\src\components\Menu.vue", "Vue", 0, 0, 0, 72, 0, 25, 8, 105
"d:\WebTech\teach-server-client\teach-client\src\components\Menuadmin.vue", "Vue", 0, 0, 0, 67, 0, 0, 5, 72
"d:\WebTech\teach-server-client\teach-client\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 1, 8, 27
"d:\WebTech\teach-server-client\teach-client\src\router\index.js", "JavaScript", 86, 0, 0, 0, 0, 52, 7, 145
"d:\WebTech\teach-server-client\teach-client\src\service\genServ.js", "JavaScript", 91, 0, 0, 0, 0, 9, 11, 111
"d:\WebTech\teach-server-client\teach-client\src\service\userServ.js", "JavaScript", 63, 0, 0, 0, 0, 0, 7, 70
"d:\WebTech\teach-server-client\teach-client\src\store\createStore.js", "JavaScript", 73, 0, 0, 0, 0, 7, 4, 84
"d:\WebTech\teach-server-client\teach-client\src\views\admin\order_management.vue", "Vue", 0, 0, 0, 230, 0, 24, 23, 277
"d:\WebTech\teach-server-client\teach-client\src\views\admin\train_management.vue", "Vue", 0, 0, 0, 410, 0, 76, 39, 525
"d:\WebTech\teach-server-client\teach-client\src\views\common\changePassword.vue", "Vue", 0, 0, 0, 125, 0, 0, 3, 128
"d:\WebTech\teach-server-client\teach-client\src\views\common\changePasswordadmin.vue", "Vue", 0, 0, 0, 125, 0, 0, 2, 127
"d:\WebTech\teach-server-client\teach-client\src\views\common\initial.vue", "Vue", 0, 0, 0, 3, 0, 0, 0, 3
"d:\WebTech\teach-server-client\teach-client\src\views\common\initialadmin.vue", "Vue", 0, 0, 0, 3, 0, 0, 0, 3
"d:\WebTech\teach-server-client\teach-client\src\views\common\login.vue", "Vue", 0, 0, 0, 101, 0, 3, 4, 108
"d:\WebTech\teach-server-client\teach-client\src\views\common\signup.vue", "Vue", 0, 0, 0, 163, 0, 3, 5, 171
"d:\WebTech\teach-server-client\teach-client\src\views\customer\nonstop_train.vue", "Vue", 0, 0, 0, 259, 0, 30, 26, 315
"d:\WebTech\teach-server-client\teach-client\src\views\customer\order_form.vue", "Vue", 0, 0, 0, 302, 0, 7, 34, 343
"d:\WebTech\teach-server-client\teach-client\src\views\customer\personal_information.vue", "Vue", 0, 0, 0, 162, 0, 6, 11, 179
"d:\WebTech\teach-server-client\teach-client\src\views\customer\transfer_train.vue", "Vue", 0, 0, 0, 243, 0, 20, 25, 288
"d:\WebTech\teach-server-client\teach-client\src\views\student\markpage.vue", "Vue", 0, 0, 0, 0, 0, 124, 1, 125
"d:\WebTech\teach-server-client\teach-client\src\views\student\schedule.vue", "Vue", 0, 0, 0, 0, 0, 194, 1, 195
"d:\WebTech\teach-server-client\teach-client\src\views\teacher\CourseEdit.vue", "Vue", 0, 0, 0, 0, 0, 165, 1, 166
"d:\WebTech\teach-server-client\teach-client\src\views\teacher\givemark.vue", "Vue", 0, 0, 0, 0, 0, 177, 1, 178
"d:\WebTech\teach-server-client\teach-client\src\views\teacher\mycourse.vue", "Vue", 0, 0, 0, 0, 0, 167, 1, 168
"d:\WebTech\teach-server-client\teach-client\union-value\README.md", "Markdown", 0, 0, 45, 0, 0, 0, 28, 73
"d:\WebTech\teach-server-client\teach-client\union-value\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 6, 31
"d:\WebTech\teach-server-client\teach-client\union-value\package.json", "JSON", 0, 101, 0, 0, 0, 0, 1, 102
"d:\WebTech\teach-server-client\teach-client\vue.config.js", "JavaScript", 16, 0, 0, 0, 0, 1, 1, 18
"Total", "-", 394, 24642, 67, 2448, 16, 1092, 290, 28949